origin,colony,dest,origin_dest,time,trt,tank,grate,wkgrate,ylossnorm,hr21,totchl,"survival (1=y,0=dead)",6 bleach/dead score,min,mean,dr90,mmm,dtr,maxdtr,days31,days32,inDHW,nightDHW,CRWDHW,inDHM
MV,MVN,MV,MV_MV,1,heat,5,0.047,0.053,0.203,0.44,13.01088743,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVN,MV,MV_MV,1,cont,6,0.008,,0.027,0.546,18.59810271,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVO,HV,MV_HV,1,heat,5,0.032,0.056,0.094,0.437,8.417013246,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVO,HV,MV_HV,1,cont,6,0.027,,-0.009,0.541,11.6382144,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVO,MV,MV_MV,1,NA,NA,0.013,0.023,NA,NA,NA,0,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVO,MV,MV_MV,1,heat,5,0.036,,0.059,0.438,7.940837551,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVO,MV,MV_MV,1,cont,6,-0.003,,0.022,0.542,12.58046451,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVA,HV,HV_HV,6,heat,7,0.023,0.179,0.407,0.341,3.693,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVA,HV,HV_HV,6,cont,8,0.042,,0.149,0.459,11.807,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVA,MV,HV_MV,6,heat,7,0.04,0.226,0.47,0.27,0.969,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVA,MV,HV_MV,6,cont,8,0.016,,0.12,0.475,7.042,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVB,HV,HV_HV,6,heat,7,0.018,0.124,0.431,0.285,NA,1,1,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVB,HV,HV_HV,6,cont,8,0.021,,0.015,0.537,13.758,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVB,MV,HV_MV,6,NA,NA,NA,NA,NA,NA,NA,0,NA,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVB,MV,HV_MV,6,heat,7,0.027,0.104,0.417,0.341,NA,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVB,MV,HV_MV,6,cont,8,0.03,,0.012,0.513,9.676,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
